OperationId,ShelfIndex,PictureLeft,PictureRight
183110862238748,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/183110862238748/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/183110862238748/PicturesAfter/raw/camera-CR.jpg
183110862238748,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/183110862238748/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/183110862238748/PicturesAfter/raw/camera-DR.jpg
207772469247445,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-AR.jpg
207772469247445,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-BR.jpg
207772469247445,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-CR.jpg
207772469247445,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/207772469247445/PicturesAfter/raw/camera-DR.jpg
222106065069542,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-AR.jpg
222106065069542,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-BR.jpg
222106065069542,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-CR.jpg
222106065069542,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/222106065069542/PicturesAfter/raw/camera-DR.jpg
244274834411218,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-AR.jpg
244274834411218,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/244274834411218/PicturesAfter/raw/camera-BR.jpg
