OperationId,ModuleId,ShelfIndex,PictureLeftBefore,PictureRightBefore,PictureLeftAfter,PictureRightAfter,ShelfReview
922476041673304,248814161989704,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-BR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-BR.jpg,0|0|0|0
922476041673304,248814161989704,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-CR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-CR.jpg,0|0|0|0
922476041673304,248814161989704,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/347672811899219/PicturesAfter/raw/camera-DR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/922476041673304/PicturesAfter/raw/camera-DR.jpg,0|0|0|0|0
925945425800219,248814161989704,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-AR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-AR.jpg,0|-1|0|0
925945425800219,248814161989704,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-BR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-BR.jpg,0|0|0|0
925945425800219,248814161989704,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-CR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-CR.jpg,0|0|0|0
925945425800219,248814161989704,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/463572705326972/PicturesAfter/raw/camera-DR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/925945425800219/PicturesAfter/raw/camera-DR.jpg,0|0|0|0|0
934703277769607,248814161989704,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-AR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-AR.jpg,0|0|0|0
934703277769607,248814161989704,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-BR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-BR.jpg,0|0|0|0
934703277769607,248814161989704,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-CR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-CR.jpg,0|-1|0|0
934703277769607,248814161989704,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/836981408450268/PicturesAfter/raw/camera-DR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/934703277769607/PicturesAfter/raw/camera-DR.jpg,0|0|0|0|0
935269519536055,248814161989704,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-AR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-AR.jpg,0|0|0|0
935269519536055,248814161989704,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-BR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-BR.jpg,0|0|0|0
935269519536055,248814161989704,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-CR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-CR.jpg,0|0|0|0
935269519536055,248814161989704,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/315843771666198/PicturesAfter/raw/camera-DR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935269519536055/PicturesAfter/raw/camera-DR.jpg,0|0|-1|0|0
935415366126943,248814161989704,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/448021386483407/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/448021386483407/PicturesAfter/raw/camera-AR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935415366126943/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935415366126943/PicturesAfter/raw/camera-AR.jpg,0|0|0|0
935415366126943,248814161989704,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/448021386483407/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/448021386483407/PicturesAfter/raw/camera-BR.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935415366126943/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/935415366126943/PicturesAfter/raw/camera-BR.jpg,0|0|0|0
